Timestamp,Temperature(C),Pressure(hPa),Humidity(%)
26-03-2018 11:34:54,23.09,998.3969065529958,42.43871862034254
26-03-2018 11:34:57,23.08,998.3663577299568,42.43300250256809
26-03-2018 11:35:00,23.07,998.3305015296884,42.41604201748181
26-03-2018 11:35:03,23.08,998.370774837207,42.42173945398527
26-03-2018 11:35:06,23.08,998.3110512411772,42.45556790025486
26-03-2018 11:35:09,23.08,998.3569481443963,42.44994637442069
26-03-2018 11:35:12,23.07,998.3305015296884,42.4611722978267
26-03-2018 11:35:15,23.07,998.3125736225778,42.461153818070656
26-03-2018 11:35:18,23.07,998.3581545534024,42.483737437999146
26-03-2018 11:35:21,23.08,998.4175624830464,42.44426682333146
26-03-2018 11:35:24,23.07,998.3719810735029,42.48937872304226
26-03-2018 11:35:28,23.07,998.3540529761551,42.466795070924476
26-03-2018 11:35:31,23.07,998.3540529761551,42.48371882948594
26-03-2018 11:35:34,23.07,998.3320235028671,42.45547566242107
26-03-2018 11:35:37,23.07,998.3125736225778,42.48371882948594
26-03-2018 11:35:40,23.07,998.3719810735029,42.483737437999146
26-03-2018 11:35:43,23.07,998.3166750260748,42.46681358286981
26-03-2018 11:35:46,23.08,998.3984282393155,42.44994637442069
26-03-2018 11:35:49,23.08,998.3801843658912,42.4217198037247
Timestamp,Temperature(C),Pressure(hPa),Humidity(%)
Timestamp,Temperature(C),Pressure(hPa),Humidity(%)
Timestamp,Temperature(C),Pressure(hPa),Humidity(%)
26-03-2018 11:56:44,23.24, 998.49, 41.49
26-03-2018 11:56:47,23.23, 998.45, 41.50
26-03-2018 11:56:51,23.23, 998.47, 41.55
26-03-2018 11:56:54,23.23, 998.48, 41.58
26-03-2018 11:56:57,23.23, 998.48, 41.72
26-03-2018 11:57:00,23.23, 998.46, 42.04
26-03-2018 11:57:03,23.23, 998.45, 42.08
26-03-2018 11:57:06,23.24, 998.51, 42.43
26-03-2018 11:57:09,23.24, 998.45, 42.32
26-03-2018 11:57:12,23.25, 998.46, 42.14
26-03-2018 11:57:15,23.26, 998.44, 42.02
26-03-2018 11:57:18,23.26, 998.46, 41.93
26-03-2018 11:57:21,23.26, 998.42, 41.88
26-03-2018 11:57:24,23.27, 998.43, 41.87
