Timestamp,Temperature(C),Pressure(hPa),Humidity(%)
26-03-2018 12:06:07,23.57, 998.54, 41.03
26-03-2018 12:08:07,23.47, 998.47, 41.01
26-03-2018 12:10:07,23.43, 998.49, 40.73
26-03-2018 12:12:07,23.45, 998.51, 40.38
26-03-2018 12:14:07,23.4, 998.49, 40.47
26-03-2018 12:16:07,23.41, 998.55, 40.37
26-03-2018 12:18:07,23.29, 998.59, 40.08
26-03-2018 12:20:07,23.36, 998.54, 39.40
26-03-2018 12:22:08,23.37, 998.54, 39.19
26-03-2018 12:24:08,23.25, 998.57, 39.29
26-03-2018 12:26:08,23.03, 998.55, 37.12
26-03-2018 12:28:08,22.93, 998.51, 36.17
26-03-2018 12:30:08,22.79, 998.49, 35.98
26-03-2018 12:32:08,22.79, 998.54, 35.18
26-03-2018 12:34:08,22.8, 998.49, 35.09
26-03-2018 12:36:08,22.68, 998.51, 35.20
26-03-2018 12:38:08,22.25, 998.48, 35.56
26-03-2018 12:40:08,22.56, 998.46, 34.65
26-03-2018 12:42:09,22.6, 998.52, 34.11
26-03-2018 12:44:09,22.72, 998.39, 33.76
26-03-2018 12:46:09,22.82, 998.44, 33.43
26-03-2018 12:48:09,22.88, 998.42, 33.10
26-03-2018 12:50:09,22.84, 998.36, 32.64
26-03-2018 12:52:09,22.88, 998.36, 32.78
26-03-2018 12:54:09,22.92, 998.36, 32.73
26-03-2018 12:56:09,22.89, 998.33, 32.34
26-03-2018 12:58:09,23.0, 998.36, 32.29
26-03-2018 13:00:10,23.05, 998.34, 32.16
26-03-2018 13:02:10,23.17, 998.39, 33.31
26-03-2018 13:04:10,23.27, 998.42, 32.57
26-03-2018 13:06:10,23.41, 998.31, 32.30
26-03-2018 13:08:10,23.36, 998.32, 32.66
26-03-2018 13:10:10,23.04, 998.32, 32.85
26-03-2018 13:12:10,22.81, 998.38, 32.50
26-03-2018 13:14:10,22.69, 998.31, 32.80
26-03-2018 13:16:10,22.96, 998.27, 32.33
26-03-2018 13:18:10,23.13, 998.26, 32.10
26-03-2018 13:20:11,23.19, 998.24, 31.81
26-03-2018 13:22:11,23.21, 998.29, 31.86
26-03-2018 13:24:11,23.27, 998.24, 31.83
26-03-2018 13:26:11,23.22, 998.27, 32.12
26-03-2018 13:28:11,23.04, 998.25, 32.41
26-03-2018 13:30:11,22.65, 998.17, 32.67
26-03-2018 13:32:11,22.51, 998.14, 32.50
26-03-2018 13:34:11,22.84, 998.24, 32.34
26-03-2018 13:36:11,23.17, 998.20, 31.85
26-03-2018 13:38:11,23.16, 998.26, 31.93
26-03-2018 13:40:11,23.27, 998.25, 31.28
26-03-2018 13:42:11,22.98, 998.21, 31.21
26-03-2018 13:44:12,22.93, 998.21, 31.37
26-03-2018 13:46:12,23.04, 998.28, 31.31
26-03-2018 13:48:12,22.55, 998.28, 31.76
26-03-2018 13:50:12,22.82, 998.29, 31.48
26-03-2018 13:52:12,22.38, 998.31, 31.68
26-03-2018 13:54:12,21.97, 998.34, 32.06
26-03-2018 13:56:12,22.23, 998.33, 32.04
26-03-2018 13:58:12,22.41, 998.27, 31.49
26-03-2018 14:00:12,22.41, 998.33, 31.41
26-03-2018 14:02:12,22.41, 998.33, 31.24
26-03-2018 14:04:13,22.33, 998.29, 31.36
26-03-2018 14:06:13,22.22, 998.29, 31.40
26-03-2018 14:08:13,22.18, 998.28, 31.95
26-03-2018 14:10:13,22.19, 998.25, 31.44
26-03-2018 14:12:13,22.25, 998.29, 31.42
26-03-2018 14:14:13,22.29, 998.30, 30.92
26-03-2018 14:16:13,22.46, 998.28, 30.93
26-03-2018 14:18:13,22.48, 998.27, 30.77
26-03-2018 14:20:13,22.24, 998.28, 31.05
26-03-2018 14:22:14,22.02, 998.30, 31.73
26-03-2018 14:24:14,22.13, 998.33, 31.36
26-03-2018 14:26:14,22.11, 998.34, 31.62
26-03-2018 14:28:14,22.11, 998.33, 31.20
26-03-2018 14:30:14,22.08, 998.34, 31.04
26-03-2018 14:32:14,22.05, 998.30, 31.19
26-03-2018 14:34:14,22.05, 998.30, 31.08
26-03-2018 14:36:14,22.06, 998.31, 31.13
26-03-2018 14:38:14,21.95, 998.35, 31.34
26-03-2018 14:40:14,21.78, 998.32, 31.62
26-03-2018 14:42:15,21.58, 998.37, 31.82
26-03-2018 14:44:15,21.27, 998.39, 32.14
26-03-2018 14:46:15,21.14, 998.31, 32.16
26-03-2018 14:48:15,21.25, 998.38, 32.50
26-03-2018 14:50:15,21.46, 998.40, 32.12
26-03-2018 14:52:15,21.51, 998.42, 31.62
26-03-2018 14:54:15,21.54, 998.37, 31.22
26-03-2018 14:56:15,21.41, 998.41, 31.97
26-03-2018 14:58:15,21.36, 998.37, 31.87
26-03-2018 15:00:15,21.53, 998.38, 31.82
26-03-2018 15:02:16,21.63, 998.37, 31.76
26-03-2018 15:04:16,21.68, 998.36, 31.75
26-03-2018 15:06:16,21.33, 998.45, 31.97
26-03-2018 15:08:16,21.22, 998.40, 32.27
26-03-2018 15:10:16,21.23, 998.41, 32.58
26-03-2018 15:12:16,21.37, 998.45, 32.16
26-03-2018 15:14:16,21.28, 998.44, 32.44
26-03-2018 15:16:16,21.39, 998.46, 32.13
26-03-2018 15:18:16,21.37, 998.50, 32.92
26-03-2018 15:20:16,21.26, 998.57, 33.03
26-03-2018 15:22:16,21.33, 998.56, 33.34
26-03-2018 15:24:16,21.24, 998.63, 33.24
